"Key","Meaning","Standard","Formula","Units"
"m080","Date the order is due to the customer"," "," "," "
"m081","Date the order was shipped to the customer"," "," "," "
"m082","Primary key of Currency records"," ","The ISO code for the Currency"," "
"m083","Currency name"," "," "," "
"m084","Primary key for Product records"," "," "," "
"m085","Unique product identification number"," "," "," "
"m086","Product is a member of this product subcategory. Foreign key to ProductSubCategory.ProductSubCategoryID"," "," "," "
"m087","Unit of measure for weight"," "," "," "
"m088","Unit of measure for size"," "," "," "
"m089","Name of the product"," "," "," "
"m090","Finished goods flag"," ","0 = Product is not a salable item. 1 = Product is salable"," "
"m091","Product color"," "," "," "
"m092","Minimum inventory quantity"," "," "," "
"m093","Inventory level that triggers a purchase order or work order"," "," "," "
"m094","Product size"," "," "," "
"m095","Size range"," "," "," "
"m096","Product weight"," "," "," "
"m097","Number of days required to manufacture the product"," "," "," "
"m098","Product line"," ","R = Road, M = Mountain, T = Touring, S = Standard"," "
"m099","Dealer price for a given product on a particular order date"," "," "," "
"m100","Class"," ","H = High, M = Medium, L = Low"," "
"m101","Style"," ","W = Womens, M = Mens, U = Universal"," "
"m102","Product model description"," "," "," "
"m103","Description of the product"," "," "," "
"m104","Date the product was available for salet"," "," "," "
"m105","Date the product was no longer available for sale"," "," "," "
"m106","Status"," ","0 = Product is purchased, 1 = Product is manufactured in-house"," "
"m107","ID of the territory in which the customer is located. Foreign key to SalesTerritory.SalesTerritoryID"," ",NULL," "
"m108","Customer alternate key"," "," "," "
"m109","A courtesy title"," ","For example, Mr. or Ms."," "
"m110","Sales total year to date"," "," "," "
"m111","Total children"," "," "," "
"m112","Number of children at home"," "," "," "
"m113","Education"," "," "," "
"m114","Occupation"," "," "," "
"m115","House owner flag"," ","0 = No, 1 = Yes"," "
"m116","Number of cars owned"," "," "," "
"m117","First street address line"," "," "," "
"m118","Second street address line"," "," "," "
"m119","Date of the first purchase"," "," "," "
"m120","Commute distance"," "," "," "
"m121","Primary key for ProductCategory records"," "," "," "
"m122","Category description"," "," "," "
"m123","Full date"," ",NULL," "
"m124","Day number of week"," "," "," "
"m125","Day name of week"," "," "," "
"m126","Day number of month"," "," "," "
"m127","Day number of year"," "," "," "
"m128","Week number of year"," "," "," "
"m129","Month name"," "," "," "
"m130","Month number of year"," "," "," "
"m131","Calendar quarter"," "," "," "
"m132","Calendar year"," "," "," "
"m133","Calendar semester"," "," "," "
"m134","Fiscal quarter"," "," "," "
"m135","Fiscal year"," "," "," "
"m136","Fiscal semester"," "," "," "
"m137","Weekend"," "," "," "
"m138","Holiday weekend"," "," "," "
"m139","Primary key for States-provinces records"," ","ISO standard state or province codey"," "
"m140","State or province description"," "," "," "
"m141","Primary key for Geography records"," "," "," "
"m142","Primary key for SalesTerritory records"," "," "," "
"m143","City"," "," "," "
"m144","Postal Code"," "," "," "
"m145","Primary key for ProductSubcategory records"," "," "," "
"m146","Subcategory description"," "," "," "
"m147","Primary key for SalesOrderHeader records"," "," "," "
"m148","Primary key. One incremental unique number per product sold"," "," "," "
"m149","Primary key for SalesReason records "," "," "," "
"m150","Primary key for SpecialOffer records"," "," "," "
"m151","Discount description"," "," "," "
"m152","Discount precentage"," "," "," "
"m153","Discount type category"," "," "," "
"m154","Group the discount applies to such as Reseller or Customer"," "," "," "
"m155","Discount start date"," "," "," "
"m156","Discount end date"," "," "," "
"m157","Minimum discount percent allowed"," "," "," "
"m158","Maximum discount percent allowed"," "," "," "
"m159","Primary key of Reseller records"," "," "," "
"m160","BusinessType"," "," "," "
"m161","Reseller name"," "," "," "
"m162","Number of employees"," "," "," "
"m163","Order frequency"," "," "," "
"m164","Order month"," "," "," "
"m165","First order year"," "," "," "
"m166","Last order year"," "," "," "
"m167","Annual sales"," "," "," "
"m168","Bank name"," "," "," "
"m169","Min payment type"," "," "," "
"m170","Min payment amount"," "," "," "
"m171","Annual revenue"," "," "," "
"m172","Year opened"," "," "," "
"m173","Region sales name"," "," "," "
"m174","Country sales name"," "," "," "
"m175","Geographic area to which the sales territory belong"," "," "," "
"m176","Date the record was last updated"," "," "," "
"m177","Standard cost of the product"," "," "," "
"m178","Units in"," "," "," "
"m179","Units out"," "," "," "
"m180","Quantity of products in the inventory"," "," "," "
"m200","Country Capital"," "," "," "
"m201","Primary key of Regions records"," "," "," "
"m202","Primary key of Subregions records"," "," "," "
"m203","Region name"," "," "," "
"m204","Subregion name"," "," "," "
